,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
22,917727.0,14440.0,512406.0,315716.0,27969.0,15726,235.0,197.0,165.0,10.0,27674.0,23594.0,115.0,1912.0,473.0,116.0,0.0,0.0,1218.0,833.0,70.0,46.0,51.0,6.0,1860699
23,1005671.0,19033.0,613965.0,385241.0,29516.0,18185,314.0,217.0,196.0,7.0,30479.0,27959.0,123.0,1903.0,499.0,73.0,0.0,0.0,1359.0,1011.0,80.0,31.0,43.0,4.0,2135909
24,1211790.0,7605.0,736630.0,430837.0,33504.0,20547,419.0,207.0,196.0,10.0,31209.0,30705.0,128.0,1981.0,488.0,54.0,0.0,0.0,1534.0,1052.0,76.0,46.0,41.0,6.0,2509065
25,1116796.0,597.0,848215.0,468229.0,35535.0,28741,213.0,281.0,321.0,15.0,49892.0,50470.0,192.0,1887.0,485.0,58.0,0.0,0.0,1512.0,1062.0,79.0,39.0,43.0,5.0,2604667
26,1177299.0,0.0,789552.0,449324.0,42279.0,20985,320.0,243.0,204.0,14.0,28911.0,25933.0,148.0,1691.0,556.0,28.0,0.0,0.0,1410.0,1051.0,102.0,38.0,54.0,4.0,2540146
27,1072639.0,0.0,1201747.0,873335.0,52925.0,34059,286.0,264.0,276.0,18.0,34625.0,32975.0,157.0,1633.0,445.0,64.0,0.0,0.0,1473.0,1065.0,104.0,53.0,49.0,7.0,3308199
28,804006.0,0.0,671330.0,636903.0,26597.0,23015,1281.0,218.0,249.0,13.0,29905.0,38487.0,102.0,1656.0,533.0,44.0,0.0,0.0,1067.0,905.0,65.0,31.0,45.0,5.0,2236457
29,757770.0,0.0,564873.0,511525.0,26664.0,20444,2435.0,216.0,247.0,19.0,36441.0,43820.0,123.0,1840.0,526.0,44.0,0.0,0.0,1122.0,977.0,55.0,41.0,65.0,1.0,1969248
30,714798.0,0.0,506877.0,446564.0,24340.0,19352,363.0,196.0,223.0,11.0,33442.0,36635.0,109.0,1667.0,439.0,61.0,0.0,0.0,814.0,739.0,48.0,26.0,37.0,2.0,1786743
31,703952.0,0.0,514414.0,409417.0,23568.0,17786,322.0,164.0,209.0,22.0,31381.0,31756.0,109.0,1565.0,408.0,18.0,0.0,0.0,439.0,348.0,14.0,5.0,11.0,3.0,1735911
