month,other,prepawn_other,redemption_other,returned_other,private_sale_other,return_to_seller_other
2010-12,16.0,0.0,1.0,,,
2010-12,375.0,0.0,0.0,,,
2010-12,232.0,0.0,0.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,3.0,0.0,0.0,,,
2010-12,16.0,0.0,0.0,,,
2010-12,108.0,0.0,2.0,,,
2010-12,26.0,0.0,0.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,728.0,0.0,10.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,10.0,0.0,0.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,0.0,0.0,0.0,,,
2010-12,366.0,0.0,0.0,,,
2010-12,91.0,0.0,1.0,,,
2010-12,123.0,2.0,0.0,,,
2010-12,24.0,0.0,0.0,,,
2010-11,122.0,0.0,2.0,,,
2010-11,80.0,0.0,0.0,,,
2010-11,171.0,0.0,3.0,,,
2010-11,57.0,0.0,1.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,48.0,0.0,0.0,,,
2010-11,15.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,0.0,0.0,3.0,,,
2010-11,93.0,0.0,1.0,,,
2010-11,1.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,29.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,185.0,0.0,1.0,,,
2010-11,10.0,0.0,0.0,,,
2010-11,106.0,0.0,1.0,,,
2010-11,91.0,0.0,2.0,,,
2010-11,108.0,0.0,0.0,,,
2010-11,34.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,23.0,0.0,1.0,,,
2010-11,49.0,0.0,0.0,,,
2010-11,88.0,0.0,0.0,,,
2010-11,100.0,0.0,0.0,,,
2010-11,114.0,1.0,0.0,,,
2010-11,240.0,0.0,1.0,,,
2010-11,20.0,0.0,0.0,,,
2010-11,14.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,10.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,70.0,0.0,0.0,,,
2010-11,218.0,0.0,0.0,,,
2010-11,158.0,0.0,2.0,,,
2010-11,13.0,0.0,0.0,,,
2010-11,333.0,0.0,0.0,,,
2010-11,262.0,0.0,1.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,2.0,0.0,0.0,,,
2010-11,16.0,0.0,0.0,,,
2010-11,96.0,0.0,1.0,,,
2010-11,25.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,614.0,1.0,12.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,26.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,0.0,0.0,0.0,,,
2010-11,272.0,0.0,2.0,,,
2010-11,59.0,0.0,1.0,,,
2010-11,122.0,1.0,0.0,,,
2010-11,23.0,0.0,0.0,,,
2010-10,108.0,1.0,2.0,,,
2010-10,88.0,0.0,0.0,,,
2010-10,159.0,0.0,2.0,,,
2010-10,55.0,0.0,1.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,33.0,0.0,0.0,,,
2010-10,10.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,0.0,0.0,1.0,,,
2010-10,87.0,0.0,4.0,,,
2010-10,2.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,31.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,240.0,0.0,1.0,,,
2010-10,8.0,1.0,0.0,,,
2010-10,114.0,0.0,0.0,,,
2010-10,93.0,0.0,2.0,,,
2010-10,121.0,0.0,1.0,,,
2010-10,33.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,18.0,0.0,0.0,,,
2010-10,49.0,0.0,0.0,,,
2010-10,111.0,0.0,1.0,,,
2010-10,119.0,0.0,1.0,,,
2010-10,89.0,0.0,0.0,,,
2010-10,215.0,0.0,1.0,,,
2010-10,38.0,0.0,1.0,,,
2010-10,10.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,15.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,78.0,0.0,0.0,,,
2010-10,219.0,0.0,0.0,,,
2010-10,169.0,0.0,6.0,,,
2010-10,21.0,0.0,0.0,,,
2010-10,390.0,0.0,0.0,,,
2010-10,172.0,0.0,2.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,1.0,0.0,0.0,,,
2010-10,22.0,0.0,0.0,,,
2010-10,73.0,0.0,2.0,,,
2010-10,21.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,565.0,0.0,13.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,18.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,0.0,0.0,0.0,,,
2010-10,315.0,0.0,0.0,,,
2010-10,57.0,0.0,0.0,,,
2010-10,121.0,0.0,0.0,,,
2010-10,14.0,0.0,0.0,,,
2010-09,124.0,0.0,2.0,,,
2010-09,60.0,0.0,0.0,,,
2010-09,133.0,0.0,0.0,,,
2010-09,57.0,0.0,1.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,37.0,0.0,0.0,,,
2010-09,18.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,0.0,0.0,2.0,,,
2010-09,93.0,0.0,3.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,37.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,167.0,0.0,0.0,,,
2010-09,11.0,0.0,0.0,,,
2010-09,89.0,0.0,2.0,,,
2010-09,78.0,0.0,5.0,,,
2010-09,155.0,0.0,1.0,,,
2010-09,45.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,14.0,0.0,0.0,,,
2010-09,71.0,0.0,0.0,,,
2010-09,118.0,0.0,0.0,,,
2010-09,116.0,0.0,0.0,,,
2010-09,56.0,0.0,2.0,,,
2010-09,194.0,0.0,0.0,,,
2010-09,23.0,0.0,0.0,,,
2010-09,6.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,8.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,69.0,0.0,1.0,,,
2010-09,274.0,0.0,0.0,,,
2010-09,162.0,0.0,9.0,,,
2010-09,16.0,0.0,0.0,,,
2010-09,296.0,0.0,1.0,,,
2010-09,166.0,0.0,2.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,4.0,0.0,0.0,,,
2010-09,6.0,0.0,0.0,,,
2010-09,53.0,0.0,3.0,,,
2010-09,20.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,529.0,0.0,1.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,11.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,0.0,0.0,0.0,,,
2010-09,284.0,0.0,2.0,,,
2010-09,48.0,0.0,2.0,,,
2010-09,120.0,0.0,0.0,,,
2010-09,21.0,0.0,0.0,,,
2010-08,142.0,0.0,4.0,,,
2010-08,67.0,0.0,0.0,,,
2010-08,147.0,0.0,2.0,,,
2010-08,50.0,1.0,2.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,28.0,0.0,0.0,,,
2010-08,19.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,85.0,0.0,1.0,,,
2010-08,4.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,23.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,218.0,0.0,0.0,,,
2010-08,6.0,0.0,0.0,,,
2010-08,108.0,0.0,1.0,,,
2010-08,75.0,0.0,1.0,,,
2010-08,111.0,0.0,1.0,,,
2010-08,45.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,13.0,0.0,0.0,,,
2010-08,62.0,0.0,0.0,,,
2010-08,93.0,0.0,0.0,,,
2010-08,97.0,0.0,0.0,,,
2010-08,71.0,0.0,1.0,,,
2010-08,211.0,1.0,1.0,,,
2010-08,50.0,0.0,0.0,,,
2010-08,10.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,11.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,96.0,0.0,0.0,,,
2010-08,182.0,0.0,0.0,,,
2010-08,169.0,0.0,4.0,,,
2010-08,14.0,0.0,0.0,,,
