month,handgun,prepawn_handgun,redemption_handgun,returned_handgun,rentals_handgun,private_sale_handgun,return_to_seller_handgun
2017-09,10495.0,6.0,1271.0,0.0,0.0,28.0,2.0
2017-09,3026.0,0.0,126.0,10.0,0.0,11.0,0.0
2017-09,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,3389.0,0.0,80.0,57.0,0.0,0.0,0.0
2017-09,4749.0,0.0,13.0,0.0,0.0,55.0,4.0
2017-09,8654.0,1.0,4.0,84.0,0.0,21.0,0.0
2017-09,4862.0,1.0,179.0,14.0,0.0,13.0,0.0
2017-09,6260.0,33.0,1683.0,0.0,0.0,11.0,0.0
2017-09,16993.0,12.0,1651.0,157.0,0.0,75.0,1.0
2017-09,2395.0,4.0,474.0,14.0,0.0,10.0,2.0
2017-09,110.0,0.0,6.0,5.0,0.0,0.0,0.0
2017-09,3992.0,0.0,354.0,0.0,0.0,0.0,0.0
2017-09,4410.0,0.0,0.0,63.0,0.0,0.0,0.0
2017-09,3985.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,5309.0,5.0,529.0,44.0,0.0,8.0,0.0
2017-09,8392.0,0.0,21.0,12.0,3.0,348.0,7.0
2017-09,1235.0,11.0,2244.0,0.0,12.0,9.0,0.0
2017-09,1359.0,0.0,90.0,0.0,0.0,8.0,1.0
2017-09,21085.0,9.0,1440.0,18.0,0.0,58.0,1.0
2017-09,8869.0,17.0,1969.0,0.0,0.0,59.0,1.0
2017-09,11557.0,0.0,0.0,113.0,0.0,0.0,0.0
2017-09,39825.0,0.0,0.0,492.0,0.0,0.0,0.0
2017-09,619.0,1.0,4.0,0.0,0.0,1.0,0.0
2017-09,907.0,0.0,2.0,3.0,0.0,15.0,1.0
2017-09,7574.0,22.0,1051.0,47.0,0.0,13.0,0.0
2017-09,2020.0,1.0,143.0,0.0,0.0,3.0,0.0
2017-09,19219.0,0.0,0.0,47.0,0.0,0.0,0.0
2017-09,39119.0,59.0,7566.0,48.0,0.0,121.0,2.0
2017-09,2840.0,3.0,285.0,125.0,0.0,0.0,0.0
2017-09,1276.0,0.0,2.0,0.0,0.0,3.0,0.0
2017-09,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,19676.0,0.0,0.0,9.0,0.0,0.0,0.0
2017-09,13292.0,12.0,1325.0,416.0,0.0,701.0,5.0
2017-09,5204.0,15.0,1380.0,10.0,0.0,16.0,1.0
2017-09,10918.0,0.0,149.0,40.0,0.0,0.0,0.0
2017-09,1337.0,1.0,139.0,0.0,0.0,10.0,0.0
2017-08,6289.0,10.0,1314.0,0.0,0.0,14.0,0.0
2017-08,2656.0,4.0,218.0,31.0,0.0,19.0,0.0
2017-08,10864.0,9.0,1397.0,95.0,0.0,17.0,0.0
2017-08,4827.0,9.0,1048.0,0.0,0.0,3.0,2.0
2017-08,41110.0,0.0,538.0,0.0,0.0,0.0,0.0
2017-08,16610.0,0.0,0.0,283.0,0.0,0.0,0.0
2017-08,5289.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,1571.0,0.0,29.0,0.0,0.0,60.0,0.0
2017-08,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,46682.0,10.0,3327.0,354.0,0.0,15.0,0.0
2017-08,11719.0,22.0,1963.0,0.0,0.0,18.0,1.0
2017-08,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-08,3216.0,3.0,416.0,32.0,0.0,10.0,0.0
2017-08,19807.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,17271.0,1.0,205.0,11.0,0.0,47.0,3.0
2017-08,134.0,0.0,2.0,27.0,0.0,0.0,0.0
2017-08,5005.0,1.0,648.0,15.0,0.0,4.0,0.0
2017-08,8039.0,13.0,1743.0,5.0,0.0,22.0,4.0
