month,long_gun,prepawn_long_gun,redemption_long_gun,returned_long_gun,rentals_long_gun,private_sale_long_gun,return_to_seller_long_gun
2014-09,4.0,0.0,0.0,,,0.0,0.0
2014-09,14835.0,0.0,0.0,,,0.0,0.0
2014-09,10589.0,7.0,1670.0,,,0.0,0.0
2014-09,7365.0,3.0,1937.0,,,0.0,0.0
2014-09,13579.0,0.0,368.0,,,0.0,0.0
2014-09,2483.0,1.0,333.0,,,0.0,0.0
2014-08,11806.0,12.0,2051.0,,,0.0,0.0
2014-08,3852.0,12.0,239.0,,,0.0,0.0
2014-08,7159.0,1.0,893.0,,,0.0,0.0
2014-08,5296.0,5.0,2011.0,,,0.0,0.0
2014-08,30590.0,0.0,624.0,,,0.0,0.0
2014-08,12531.0,0.0,4.0,,,0.0,0.0
2014-08,2553.0,0.0,0.0,,,1.0,16.0
2014-08,1623.0,2.0,6.0,,,0.0,0.0
2014-08,3.0,0.0,0.0,,,0.0,0.0
2014-08,19794.0,5.0,1336.0,,,0.0,0.0
2014-08,8358.0,10.0,2029.0,,,0.0,0.0
2014-08,47.0,0.0,0.0,,,0.0,0.0
2014-08,0.0,0.0,0.0,,,0.0,0.0
2014-08,3968.0,1.0,648.0,,,0.0,0.0
2014-08,12191.0,0.0,0.0,,,0.0,0.0
2014-08,12168.0,4.0,655.0,,,0.0,0.0
2014-08,2205.0,3.0,98.0,,,0.0,0.0
2014-08,4968.0,1.0,464.0,,,0.0,0.0
2014-08,7382.0,6.0,2422.0,,,0.0,0.0
2014-08,10791.0,2.0,1275.0,,,0.0,0.0
2014-08,3387.0,49.0,212.0,,,0.0,0.0
2014-08,0.0,0.0,0.0,,,0.0,0.0
2014-08,4587.0,1.0,159.0,,,12.0,1.0
2014-08,2726.0,1.0,1.0,,,0.0,0.0
2014-08,9867.0,4.0,390.0,,,0.0,0.0
2014-08,11540.0,2.0,624.0,,,0.0,0.0
2014-08,6078.0,21.0,1498.0,,,0.0,0.0
2014-08,14418.0,11.0,1595.0,,,0.0,0.0
2014-08,4427.0,3.0,1158.0,,,0.0,0.0
2014-08,1878.0,0.0,105.0,,,0.0,0.0
2014-08,2720.0,0.0,175.0,,,0.0,0.0
2014-08,3162.0,0.0,21.0,,,0.0,0.0
2014-08,3035.0,0.0,0.0,,,0.0,0.0
2014-08,3949.0,4.0,645.0,,,0.0,0.0
2014-08,13388.0,1.0,19.0,,,93.0,7.0
2014-08,12038.0,18.0,2842.0,,,0.0,0.0
2014-08,2979.0,1.0,164.0,,,0.0,0.0
2014-08,16787.0,3.0,1128.0,,,0.0,0.0
2014-08,9635.0,8.0,2109.0,,,0.0,0.0
2014-08,8157.0,0.0,0.0,,,0.0,0.0
2014-08,8958.0,0.0,0.0,,,0.0,0.0
2014-08,256.0,0.0,7.0,,,0.0,0.0
2014-08,683.0,0.0,3.0,,,0.0,0.0
2014-08,5989.0,2.0,1020.0,,,0.0,0.0
2014-08,3693.0,1.0,249.0,,,0.0,0.0
2014-08,14233.0,0.0,0.0,,,0.0,0.0
2014-08,43507.0,22.0,5730.0,,,0.0,0.0
2014-08,3132.0,1.0,409.0,,,0.0,0.0
2014-08,1177.0,0.0,5.0,,,0.0,0.0
2014-08,1.0,0.0,0.0,,,0.0,0.0
2014-08,13675.0,0.0,0.0,,,0.0,0.0
2014-08,9239.0,4.0,1473.0,,,0.0,0.0
2014-08,5986.0,7.0,1939.0,,,0.0,0.0
2014-08,11849.0,0.0,367.0,,,0.0,0.0
2014-08,1964.0,2.0,260.0,,,0.0,0.0
2014-07,9544.0,19.0,1693.0,,,0.0,0.0
2014-07,2564.0,3.0,195.0,,,0.0,0.0
2014-07,5610.0,1.0,661.0,,,0.0,0.0
2014-07,3928.0,3.0,1713.0,,,0.0,0.0
2014-07,24482.0,0.0,427.0,,,0.0,0.0
2014-07,10489.0,0.0,0.0,,,0.0,0.0
